10.2.0.113;"BRQ\anamarques"
10.2.42.125;"fabio.soares"
10.2.42.135;"brunomoraes"
10.2.42.153;"luiz.benedito"
10.2.42.157;"BRQ\eduardo.escobar"
10.2.42.187;"fabiosouza"
10.2.42.190;"BRQ\andersonlima"
10.2.42.195;"BRQ\adrianoranea"
10.2.42.221;"BRQ\jackelinevalentin"
10.2.42.224;"BRQ\robsoncesa"
10.2.42.228;"jsilikas"
10.2.42.241;"BRQ\bmoraes"
10.2.42.253;"BRQ\bbuenocamargo"
10.2.42.31;"BRQ\adrianoviegas"
10.2.42.32;"BRQ\mgferreira"
10.2.42.3;"BRQ\gvianni"
10.2.42.42;"marcelomartins"
10.2.42.45;"BRQ\klebersantos"
10.2.42.46;"BRQ\mfroelich"
10.2.42.49;"amartinssantos"
10.2.42.55;"jose.campos"
10.2.42.64;"BRQ\amsouza"
10.2.42.87;"BRQ\tpimentel"
10.2.42.88;"lpmonteiro"
10.2.43.101;"BRQ\fernandonascimento"
10.2.43.115;"BRQ\luisharduim"
10.2.43.119;"BRQ\vinicius.tadeu"
10.2.43.159;"hbarba"
10.2.43.170;"lmatumoto"
10.2.43.179;"BRQ\mtacaci"
10.2.43.17;"wilson.cavaleiros"
10.2.43.185;"BRQ\gallo"
10.2.43.193;"BRQ\gmichelini"
10.2.43.218;"jansonei"
10.2.43.228;"vmunarin"
10.2.43.230;"BRQ\dgenovez"
10.2.43.235;"jose.tosi"
10.2.43.239;"jgonzaga"
10.2.43.240;"rbezerra"
10.2.43.245;"jeffersonribeiro"
10.2.43.47;"BRQ\douglasralencar"
10.2.43.82;"BRQ\dmsilva"
10.2.43.99;"BRQ\dassis"
10.2.44.114;"mbiazucci"
10.2.44.158;"BRQ\fabio.soares"
10.2.44.160;"fabioalmeida"
10.2.44.170;"BRQ\carlosvaccari"
10.2.44.193;"BRQ\thonda"
10.2.44.195;"sergio.doblinski"
10.2.44.196;"pvela"
10.2.44.210;"BRQ\dassis"
10.2.44.224;"BRQ\vinicius.tadeu"
10.2.44.234;"BRQ\gallo"
10.2.44.250;"BRQ\cvieira"
10.2.44.253;"marina.kasue"
10.2.44.254;"edman.zamai"
10.2.44.54;"BRQ\sfugikava"
10.2.44.63;"elaine.cristine"
10.2.44.93;"nferreira"
10.2.45.139;"BRQ\rortolani"
10.2.45.13;"BRQ\vanessa.bonetti"
10.2.45.183;"BRQ\elisangela.escribano"
10.2.45.198;"fernando.fumio"
10.2.45.201;"BRQ\fernanda.oliveira"
10.2.45.20;"hfilier"
10.2.45.237;"BRQ\mariobruno"
10.2.45.244;"BRQ\cssouza"
10.2.45.27;"gmacorin"
10.2.45.36;"BRQ\robson.vellasques"
10.2.45.50;"BRQ\alvarinodias"
10.2.45.69;"easilva"
10.2.45.6;"BRQ\vanessa.bonetti"
10.2.45.74;"phcosta"
10.2.45.7;"BRQ\joaopugsley"
10.2.45.86;"BRQ\rogeriosoares"
10.2.52.10;"BRQ\rafaelalmeida"
10.2.52.13;"BRQ\mmattozeiro"
10.2.52.15;"BRQ\amcunha"
10.2.52.18;"BRQ\lucianoseabra"
10.2.52.21;"SRV1437\infra"
10.2.52.24;"BRQ\rubemluna"
10.2.52.27;"ernestogalaso"
10.2.52.28;"BRQ\jaaneto"
10.2.52.29;"BRQ\pedronjunior"
10.2.52.30;"BRQ\wallacecarvalho"
10.2.52.31;"jquintella"
10.2.52.34;"BRQ\wallacecarvalho"
10.2.52.35;"BRQ\wallacecarvalho"
10.2.52.36;"BRQ\wallacecarvalho"
10.2.52.37;"BRQ\wallacecarvalho"
10.2.52.38;"BRQ\wallacecarvalho"
10.2.52.40;"BRQ\wallacecarvalho"
10.2.52.42;"BRQ\wallacecarvalho"
10.2.52.44;"BRQ\wallacecarvalho"
10.2.52.45;"BRQ\ericklima"
10.2.52.4;"BRQ\griedel"
10.2.52.9;"BRQ\ericklima"
10.2.64.203;"RJSERVER3\vcenterrj"
10.2.64.222;"VCENTERSP\hmlocal"
10.2.66.113;"BRQ\rmarcondes"
10.2.66.122;"BRQ\rluz"
10.2.66.142;"BRQ\fabiofraga"
10.2.66.148;"BRQ\igabriel"
10.2.66.154;"BRQ\lfcabral"
10.2.66.15;"pmlima"
10.2.66.167;"BRQ\fsanches"
10.2.66.16;"BRQ\waoliveira"
10.2.66.180;"BRQ\alancardoso"
10.2.66.189;"roviganico"
10.2.66.191;"BRQ\girotto"
10.2.66.198;"BRQ\rflaperuta"
10.2.66.200;"BRQ\marciowendel"
10.2.66.204;"wyukimide"
10.2.66.208;"BRQ\hugomartinez"
10.2.66.211;"BRQ\fjusto"
10.2.66.215;"mvaraujo"
10.2.66.217;"BRQ\kborges"
10.2.66.21;"msroberto"
10.2.66.229;"BRQ\azampieri"
10.2.66.235;"BRQ\brunoheidorn"
10.2.66.236;"BRQ\wleite"
10.2.66.238;"BRQ\gcsouza"
10.2.66.242;"BRQ\luanaazevedo"
10.2.66.246;"rconceicao"
10.2.66.248;"BRQ\fgomes"
10.2.66.24;"BRQ\julianalara"
10.2.66.255;"psmartins"
10.2.66.26;"BRQ\fecosta"
10.2.66.31;"BRQ\lgrecco"
10.2.66.34;"BRQ\pdomingues"
10.2.66.38;"BRQ\ronaldojrsilva"
10.2.66.60;"cgolabek"
10.2.66.61;"BRQ\arsilveira"
10.2.66.67;"williansilva"
10.2.66.68;"BRQ\haroldoriccetto"
10.2.66.77;"BRQ\azanardi"
10.2.66.82;"ehashimoto"
10.2.66.89;"BRQ\lpessini"
10.2.66.8;"aiborra"
10.2.66.93;"BRQ\anapaulanascimento"
10.2.66.94;"pedroderossi"
10.2.67.104;"wssantos"
10.2.67.106;"BRQ\cleberrsantos"
10.2.67.109;"BRQ\nishi"
10.2.67.117;"ftarabay"
10.2.67.124;"BRQ\orion"
10.2.67.129;"BRQ\mcraveiro"
10.2.67.130;"umenezes"
10.2.67.131;"BRQ\thatianecalegari"
10.2.67.132;"BRQ\gperillo"
10.2.67.136;"m.silva"
10.2.67.140;"BRQ\tsoliveira"
10.2.67.143;"BRQ\vvigati"
10.2.67.151;"apssilva"
10.2.67.154;"BRQ\marcelom"
10.2.67.155;"rleone"
10.2.67.158;"lramosouza"
10.2.67.161;"lemoraes"
10.2.67.16;"aosantos"
10.2.67.172;"BRQ\scordova"
10.2.67.175;"BRQ\fabianoprazeres"
10.2.67.185;"BRQ\alanpenha"
10.2.67.188;"BRQ\haroldoassis"
10.2.67.198;"BRQ\douglasmartinez"
10.2.67.202;"rvettorazzo"
10.2.67.210;"BRQ\mcobo"
10.2.67.213;"marciafeitosa"
10.2.67.214;"rosericcetto"
10.2.67.220;"BRQ\paulo.real"
10.2.67.221;"BRQ\c.monteiro"
10.2.67.223;"BRQ\ingridlopesrufino"
10.2.67.228;"BRQ\latanza"
10.2.67.231;"BRQ\josebamorim"
10.2.67.23;"BRQ\ssbarboza"
10.2.67.240;"BRQ\acfilho"
10.2.67.249;"BRQ\dnunes"
10.2.67.252;"felipevale"
10.2.67.254;"BRQ\emoisinho"
10.2.67.29;"BRQ\azanardi"
10.2.67.2;"BRQ\bpalaria"
10.2.67.32;"lmarconi"
10.2.67.34;"BRQ\avaleriano"
10.2.67.35;"BRQ\emarquessantos"
10.2.67.39;"BRQ\celinasilva"
10.2.67.44;"douglassouza"
10.2.67.50;"BRQ\misaelrt"
10.2.67.57;"BRQ\diogogiordani"
10.2.67.5;"BRQ\ebakanovas"
10.2.67.65;"BRQ\ccyrino"
10.2.67.73;"mariangelasilva"
10.2.67.75;"argarcia"
10.2.67.76;"telmapedroso"
10.2.67.77;"BRQ\nairacatherine"
10.2.67.86;"pgomes"
10.2.67.94;"czilioli"
10.2.67.96;"BRQ\priscillagermano"
10.2.67.97;"auchoa"
10.2.67.99;"jcbgomes"
10.2.68.10;"BRQ\lcobo"
10.2.68.110;"BRQ\jsantossilva"
10.2.68.116;"BRQ\anaguedes"
10.2.68.118;"BRQ\paulobrito"
10.2.68.11;"gabrielxavier"
10.2.68.122;"BRQ\veronicabarreto"
10.2.68.128;"BRQ\gbleite"
10.2.68.13;"BRQ\dmacedo"
10.2.68.141;"BRQ\juliofigueiredo"
10.2.68.142;"BRQ\frsilva"
10.2.68.149;"lorti"
10.2.68.14;"chsilva"
10.2.68.153;"BRQ\lkoti"
10.2.68.158;"BRQ\mmlima"
10.2.68.165;"BRQ\tsteiner"
10.2.68.166;"BRQ\dgalhardoni"
10.2.68.169;"BRQ\jcapelli"
10.2.68.173;"BRQ\monicab"
10.2.68.174;"BRQ\colivan"
10.2.68.175;"BRQ\alanpenha"
10.2.68.177;"sergiootsuka"
10.2.68.178;"BRQ\elainedupim"
10.2.68.179;"BRQ\armoraes"
10.2.68.182;"rakui"
10.2.68.184;"BRQ\ldevico"
10.2.68.186;"BRQ\mauriciosb"
10.2.68.187;"BRQ\flandim"
10.2.68.18;"victoraugustomelo"
10.2.68.190;"BRQ\lucasmiranda"
10.2.68.196;"BRQ\rtavares"
10.2.68.203;"BRQ\afmendes"
10.2.68.206;"BRQ\niltonatanasio"
10.2.68.208;"BRQ\rmsoares"
10.2.68.210;"BRQ\jonathanreis"
10.2.68.21;"BRQ\llmarques"
10.2.68.226;"rodrigotlacerda"
10.2.68.229;"BRQ\vanessaalves"
10.2.68.231;"rpgomes"
10.2.68.233;"BRQ\rodrigobarros"
10.2.68.237;"BRQ\lucascaran"
10.2.68.240;"BRQ\dgrangeiro"
10.2.68.242;"BRQ\williamrodrigues"
10.2.68.249;"guilhermebelas"
10.2.68.28;"BRQ\lmagalhaes"
10.2.68.2;"BRQ\monicav"
10.2.68.38;"BRQ\ewcosta"
10.2.68.3;"tcampos"
10.2.68.46;"rstanzione"
10.2.68.62;"fportela"
10.2.68.63;"vbezerra"
10.2.68.67;"BRQ\amandarocha"
10.2.68.76;"BRQ\splima"
10.2.68.77;"BRQ\gssouza"
10.2.68.82;"BRQ\nonaka"
10.2.68.85;"BRQ\csalmeida"
10.2.68.8;"BRQ\rvsantos"
10.2.68.90;"BRQ\gilmarc"
10.2.68.92;"BRQ\adelgado"
10.2.68.9;"BRQ\arubello"
10.2.69.10;"BRQ\lpessini"
10.2.69.116;"BRQ\rsoledade"
10.2.69.11;"jessicajanardi"
10.2.69.123;"BRQ\priscilaluiz"
10.2.69.128;"BRQ\e.alves"
10.2.69.130;"azarantoniello"
10.2.69.133;"BRQ\jprodrigues"
10.2.69.134;"BRQ\apereirasilva"
10.2.69.139;"ryanase"
10.2.69.13;"nb020148\brq"
10.2.69.150;"BRQ\marcelom"
10.2.69.151;"BRQ\lantonio"
10.2.69.157;"BRQ\andrade"
10.2.69.164;"BRQ\lucasoliverx"
10.2.69.165;"BRQ\johnnysk"
10.2.69.168;"marcia.fonseca"
10.2.69.169;"BRQ\gledsoncarvalho"
10.2.69.177;"reabe"
10.2.69.179;"rbernardes"
10.2.69.17;"ricardottoyo"
10.2.69.180;"BRQ\liliane.delvecchio"
10.2.69.182;"BRQ\lucasmiranda"
10.2.69.193;"mcferreira"
10.2.69.198;"eduardosanchez"
10.2.69.207;"BRQ\tscalais"
10.2.69.212;"BRQ\mlsouza"
10.2.69.215;"BRQ\ppeixoto"
10.2.69.220;"ccsantos"
10.2.69.221;"rvecchio"
10.2.69.229;"BRQ\danielmonteiro"
10.2.69.232;"BRQ\jhono"
10.2.69.235;"BRQ\andreiwazaki"
10.2.69.246;"BRQ\alexandremedeiros"
10.2.69.247;"BRQ\jnatalicio"
10.2.69.24;"BRQ\dlodi"
10.2.69.250;"BRQ\lcampana"
10.2.69.251;"BRQ\hdoliveira"
10.2.69.254;"BRQ\rcfogaca"
10.2.69.28;"eandrade"
10.2.69.2;"BRQ\elainedupim"
10.2.69.30;"BRQ\danilovale"
10.2.69.31;"BRQ\fesilva"
10.2.69.36;"BRQ\lucianemelo"
10.2.69.3;"BRQ\rdonaire"
10.2.69.42;"BRQ\nmonteiro"
10.2.69.48;"BRQ\bkenji"
10.2.69.55;"altheodoro"
10.2.69.57;"kmoura"
10.2.69.79;"BRQ\aconsolaro"
10.2.69.7;"BRQ\jabreu"
10.2.69.80;"BRQ\wlopes"
10.2.69.81;"drmartins"
10.2.69.83;"BRQ\rsekine"
10.2.69.89;"marcelaraujo"
10.2.69.92;"marianasantos"
10.2.69.94;"BRQ\davelar"
10.2.69.95;"BRQ\tcnunes"
10.2.69.97;"BRQ\rosilva"
10.2.69.98;"rpaulino"
10.2.70.104;"BRQ\emmanuel"
10.2.70.106;"BRQ\brunovsilva"
10.2.70.107;"BRQ\caugusto"
10.2.70.111;"BRQ\JulianaGieseke"
10.2.70.116;"gilmarferreira"
10.2.70.118;"BRQ\luansoares"
10.2.70.130;"marcoskazu"
10.2.70.135;"casantos"
10.2.70.13;"BRQ\ensilva"
10.2.70.141;"BRQ\ljorge"
10.2.70.149;"BRQ\fernandacardoso"
10.2.70.150;"BRQ\dcararo"
10.2.70.157;"ricardobonfim"
10.2.70.163;"BRQ\elsousa"
10.2.70.164;"BRQ\cesarzapata"
10.2.70.165;"BRQ\caiorapha"
10.2.70.167;"BRQ\ljorge"
10.2.70.179;"rcbernardes"
10.2.70.181;"BRQ\mabrinstein"
10.2.70.183;"BRQ\rcatarina"
10.2.70.186;"BRQ\brunocasali"
10.2.70.189;"BRQ\caterinakeller"
10.2.70.194;"alexgiovanni"
10.2.70.197;"sergiopires"
10.2.70.203;"eduardoantunes"
10.2.70.204;"paulo.andre"
10.2.70.207;"BRQ\mgiordani"
10.2.70.20;"BRQ\andrefpinheiro"
10.2.70.219;"BRQ\jyoliveira"
10.2.70.222;"BRQ\ftakao"
10.2.70.223;"BRQ\rafaelalmeida"
10.2.70.230;"BRQ\mariangelasilva"
10.2.70.238;"ruehara"
10.2.70.23;"angelafbrito"
10.2.70.240;"BRQ\vramos"
10.2.70.241;"BRQ\caugusto"
10.2.70.245;"BRQ\jhsoares"
10.2.70.247;"BRQ\rafaeldotti"
10.2.70.251;"BRQ\fabioalves"
10.2.70.34;"BRQ\rovieira"
10.2.70.35;"BRQ\ssborges"
10.2.70.36;"BRQ\giseleleite"
10.2.70.38;"BRQ\jgnascimento"
10.2.70.3;"fschivel"
10.2.70.41;"ealpendre"
10.2.70.44;"BRQ\tnlima"
10.2.70.48;"BRQ\gdarlan"
10.2.70.56;"kaiquemoniz"
10.2.70.59;"BRQ\hairaalves"
10.2.70.5;"BRQ\mpaganini"
10.2.70.62;"BRQ\scortez"
10.2.70.65;"alexandre.moura"
10.2.70.73;"BRQ\mpjunior"
10.2.70.76;"BRQ\iasilva"
10.2.70.82;"BRQ\e.silva"
10.2.70.83;"BRQ\vmedici"
10.2.70.85;"BRQ\rldasilva"
10.2.70.8;"BRQ\fabianosilva"
10.2.70.94;"BRQ\frizzi"
10.2.70.9;"BRQ\ddpereira"
10.2.71.112;"BRQ\ibritto"
10.2.71.116;"minouye"
10.2.71.136;"BRQ\pmassarente"
10.2.71.143;"BRQ\ivanlima"
10.2.71.14;"BRQ\camillaaraujo"
10.2.71.150;"BRQ\fecosta"
10.2.71.151;"BRQ\nmonteiro"
10.2.71.154;"BRQ\joliveira"
10.2.71.167;"BRQ\cguarnelli"
10.2.71.16;"cmatsumura"
10.2.71.171;"BRQ\llozano"
10.2.71.185;"BRQ\thfranco"
10.2.71.39;"egushiken"
10.2.71.42;"BRQ\vramos"
10.2.71.43;"BRQ\dvnascimento"
10.2.71.45;"BRQ\rooseveltsjunior"
10.2.71.4;"mzampereti"
10.2.71.52;"BRQ\mslima"
10.2.71.56;"BRQ\nishi"
10.2.71.57;"BRQ\rafaelsakai"
10.2.71.62;"BRQ\douglasralencar"
10.2.71.67;"BRQ\lucasmiranda"
10.2.71.76;"marcelrosa"
10.2.71.7;"BRQ\ffilsali"
10.2.71.80;"BRQ\emferreira"
10.2.71.91;"BRQ\rsilvaferreira"
10.2.71.97;"BRQ\cnovais"
10.2.73.222;"TEMPLATE-WIN-2K\Administrator"
10.2.73.223;"TEMPLATE-WIN-2K\Administrator"
10.2.74.10;"BRQ\marciarodrigues"
10.2.74.144;"BRQ\valexandra"
10.2.74.174;"BRQ\vivianereis"
10.2.74.193;"BRQ\rlferrao"
10.2.74.201;"BRQ\edilsondiasalves"
10.2.74.219;"facilities"
10.2.74.228;"BRQ\emersonlima"
10.2.74.31;"jgiroleti"
10.2.74.45;"BRQ\rgrosz"
10.2.74.51;"BRQ\andremiyamoto"
10.2.74.52;"BRQ\spontes"
10.2.74.54;"BRQ\afioretti"
10.2.74.87;"BRQ\luno_ppp"
10.2.74.88;"BRQ\caiogregorio"
10.2.74.93;"BRQ\sergpina"
10.2.75.101;"BRQ\evandromillian"
10.2.75.104;"BRQ\josantos"
10.2.75.112;"BRQ\juliokramer"
10.2.75.128;"BRQ\rncosta"
10.2.75.133;"BRQ\adrieneabe"
10.2.75.137;"BRQ\josantos"
10.2.75.163;"BRQ\rgrosz"
10.2.75.164;"BRQ\markusbranco"
10.2.75.168;"BRQ\marconefreitas"
10.2.75.171;"BRQ\gabrieloliveira"
10.2.75.175;"BRQ\rmaedo"
10.2.75.177;"BRQ\rodrigohora"
10.2.75.18;"BRQ\rcotrin"
10.2.75.232;"BRQ\paulorsilva"
10.2.75.81;"BRQ\adrieneabe"
10.2.75.92;"BRQ\danielpereira"
10.2.75.9;"BRQ\etanaka"
10.2.76.115;"BRQ\graziellyalmeida"
10.2.76.14;"BRQ\joaquimnunes"
10.2.76.159;"BRQ\ricardolerma"
10.2.76.39;"BRQ\fscosta"
10.2.76.47;"BRQ\lucaslacerda"
10.2.76.58;"BRQ\juliokramer"
10.2.76.77;"BRQ\rceli"
10.2.76.7;"BRQ\ademirgarcia"
10.2.76.94;"BRQ\leandrocostasilva"
10.2.76.97;"BRQ\adilsonjr"
10.2.77.224;"BRQ\fernandadossantos"
10.2.77.240;"BRQ\jlmendes"
10.2.77.255;"BRQ\ajfjunior"
10.2.77.31;"BRQ\leonardotanikawa"
10.2.78.94;"BRQ\cvoginski"
10.2.80.201;"TEMP-W2008-64\Administrator"
10.2.8.111;"VMSANEPAR01\Administrador"
10.2.8.118;"vmgvt01\brq"
10.2.8.15;"BRQ\dkarolak"
10.2.8.199;"ADPROD199MAL\Administrator"
10.2.8.205;"pyasui"
10.2.8.208;"fabriotamai"
10.2.8.20;"HOSTMONITORCWB\HOSTMONITOR"
10.2.8.211;"bbarreto"
10.2.8.68;"BRQ\pyasui"
10.2.88.136;"BRQ\icavalcante"
10.2.88.139;"BRQ\ramoncandido"
10.2.88.181;"BRQ\lplacerda"
10.2.8.82;"BRQ\leandrocaron"
10.2.88.36;"BRQ\lplacerda"
10.2.8.90;"QUIOSQUECWB01\QUIOSQUE"
10.2.89.156;"BRQ\ericojorge"
10.2.89.157;"BRQ\alexandrealencar"
10.2.89.158;"BRQ\RAULLIMA"
10.2.89.159;"BRQ\dayannecastro"
10.2.89.204;"BRQ\glaubersilva"
10.2.89.208;"BRQ\glaubersilva"
10.2.89.211;"RECSERVER11\outsystem"
10.2.89.31;"DT024857\Descontração"
10.2.89.39;"BRQ\ericsamarcos"
10.2.9.104;"BRQ\services"
10.2.9.109;"BRQ\pauloneves"
10.2.9.111;"BRQ\rrigoni"
10.2.9.124;"BRQ\wpcorrea"
10.2.9.129;"SERVICES"
10.2.9.134;"BRQ\vgusso"
10.2.9.140;"BRQ\hmgomes"
10.2.9.145;"BRQ\gnicoleli"
10.2.9.148;"BRQ\andreiasantos"
10.2.9.168;"BRQ\rafaeloliveira"
10.2.9.172;"BRQ\rodrigococci"
10.2.9.178;"BRQ\mmorgado"
10.2.9.184;"BRQ\sscalegari"
10.2.9.19;"BRQ\lsolano"
10.2.9.217;"BRQ\ipereira"
10.2.9.233;"BRQ\cosantos"
10.2.9.238;"BRQ\services"
10.2.9.29;"BRQ\omacioszki"
10.2.9.31;"BRQ\costen"
10.2.9.34;"BRQ\arrosario"
10.2.9.35;"BRQ\sesilva"
10.2.9.40;"BRQ\gnicoleli"
10.2.9.42;"BRQ\andrehenrique"
10.2.9.44;"BRQ\edipooliveira"
10.2.9.54;"BRQ\muriloschilipack"
10.2.9.57;"BRQ\miltonjose"
10.2.9.63;"BRQ\davidtozo"
10.2.9.68;"BRQ\kpetrelli"
10.2.9.76;"BRQ\luizheming"
10.2.97.99;"BRQ\aroldojunior"
10.2.9.79;"BRQ\gabrielmylla"
10.2.9.86;"BRQ\smoraes"
10.2.9.87;"BRQ\julianoribeiro"
10.2.9.92;"BRQ\hmgomes"
10.2.9.93;"BRQ\mauriciorosa"
10.2.9.99;"BRQ\kenjialberto"
