chave,_IP,_CPU,_memoria,_disco,_versaoSO,_site
SRV12302,10.2.0.52,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 30GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV12386,10.2.0.53,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 35GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SPSERVER078,10.2.0.78,CPU :Intel(R) Pentium(R) III processor - 4 socket x  core x  logical proc,6GB,C: 35GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
CITRIXPROD100,10.2.0.100,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD101,10.2.0.101,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,6GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD102,10.2.0.102,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,8GB,C: 100GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD103,10.2.0.103,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,8GB,C: 100GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD104,10.2.0.104,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,8GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD105,10.2.0.105,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,12GB,C: 70 GB D: 30 GB E: 20 GB G: 40 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD106,10.2.0.106,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,6GB,C: 50GB,Microsoft Windows Server 2012 R2 Datacenter,BV
CITRIXPROD108,10.2.0.108,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,6GB,C: 100GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD110,10.2.0.110,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,6GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD111,10.2.0.111,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,6GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD112,10.2.0.112,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,8GB,C: 120GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPRODRM01,10.2.0.113,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM02,10.2.0.114,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM03,10.2.0.115,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM04,10.2.0.116,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM05,10.2.0.117,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM06,10.2.0.118,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM07,10.2.0.119,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM08,10.2.0.120,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM09,10.2.0.121,CPU :Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM10,10.2.0.122,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM11,10.2.0.123,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM12,10.2.0.124,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM13,10.2.0.125,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM14,10.2.0.126,CPU :Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM15,10.2.0.127,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM16,10.2.0.128,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM17,10.2.0.129,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM19,10.2.0.133,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM20,10.2.0.134,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM21,10.2.0.135,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM18,10.2.0.136,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 50GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM22,10.2.0.137,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
SRV15784,10.2.0.138,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 50 GB D: 20 GB,Microsoft Windows Server 2012 R2 Standard,BV
CITRIXPROD140,10.2.0.140,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,8GB,C: 80GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD100,10.2.0.201,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD101,10.2.0.202,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,6GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SPSERVER7,10.2.0.207,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 4 socket x  core x  logical proc,4GB,C: 15 GB E: 80 GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
VCENTERSP,10.2.0.222,CPU :Intel(R) Pentium(R) Dual  CPU  E2140  @ 1.60GHz - 1 socket x 2 core x 2 logical proc,8GB,C: 195 GB D: 270 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
VCENTERBV2,10.2.0.223,CPU :Intel(R) Xeon(R) CPU           X3430  @ 2.40GHz - 1 socket x 4 core x 4 logical proc,24GB,C: 117 GB E: 162 GB,Microsoft Windows Server 2012 R2 Datacenter,BV
SPSRVWIN232,10.2.0.232,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 8 core x 8 logical proc,28GB,C: 156 GB D: 123 GB E: 900 GB,Microsoft Windows Server 2012 R2 Datacenter,BV
SPSRVWIN235,10.2.0.235,CPU :Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz - 2 socket x 12 core x 24 logical proc,24GB,C: 439 GB D: 0 GB,Microsoft Windows Server 2012 R2 Standard,BV
BVSERVER7,10.2.1.7,CPU :Intel(R) Xeon(R) CPU E31220 @ 3.10GHz - 1 socket x 4 core x 4 logical proc,16GB,C: 466 GB F: 2794 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
RJSERVER3,10.2.1.12,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,32GB,C: 49 GB D: 183 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV9595,10.2.1.39,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,2GB,C: 30GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SPSERVER51,10.2.1.51,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,4GB,C: 50GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
SRV1456,10.2.1.63,CPU :Intel(R) Pentium(R) III processor - 4 socket x  core x  logical proc,8GB,C: 115GB,Microsoft(R) Windows(R) Server 2003 Enterprise x64 Edition,BV
SRV1481,10.2.1.66,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 4 core x 4 logical proc,6GB,C: 105GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV1482,10.2.1.67,CPU :Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz - 1 socket x 2 core x 2 logical proc,6GB,C: 80GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV1502,10.2.1.68,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 45 GB D: 300 GB E: 50 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV1503,10.2.1.69,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 2 core x 2 logical proc,6GB,C: 110GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV2489,10.2.1.88,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 2 core x 2 logical proc,6GB,C: 40 GB D: 40 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SPSERVER93,10.2.1.93,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 4 socket x 4 core x 4 logical proc,4GB,C: 40 GB E: 180 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
WSUSPROD102BV,10.2.1.102,CPU :Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz - 2 socket x 4 core x 4 logical proc,12GB,C: 60 GB E: 500 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV2834,10.2.1.103,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 100GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV2837,10.2.1.105,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 50 GB D: 30 GB   GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV2851,10.2.1.107,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 110GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV2852,10.2.1.108,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,6GB,C: 51GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SPSERVER109,10.2.1.109,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 4 socket x 4 core x 4 logical proc,6GB,C: 110GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV2864,10.2.1.114,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 80GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV10050,10.2.1.120,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 100GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV3226,10.2.1.123,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,4GB,C: 40GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
SPSERVER126,10.2.1.126,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,8GB,C: 80GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SPSERVER128,10.2.1.128,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 4 socket x  core x  logical proc,4GB,C: 108 GB E: 40 GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
SRV3246,10.2.1.129,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 80GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV9520,10.2.1.134,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 80GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV3254,10.2.1.135,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 100GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV4996,10.2.1.137,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 61 GB D: 100 GB E: 40 GB,Microsoft Windows Server 2008 R2 Standard ,BV
SRV15594,10.2.1.139,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,8GB,C: 100GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SPSERVER140,10.2.1.140,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x  core x  logical proc,4GB,C: 20GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
SRV4997,10.2.1.141,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 120GB,Microsoft Windows Server 2008 R2 Standard ,BV
SRV9580,10.2.1.142,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,8GB,C: 50 GB D: 200 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV3233,10.2.1.146,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 50GB,Microsoft Windows 7 Professional ,BV
SPSERVER149,10.2.1.149,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,3GB,C: 51GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
SRV15521,10.2.1.157,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,8GB,C: 60GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV15610,10.2.1.158,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,6GB,C: 60GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV15481,10.2.1.167,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,8GB,C: 90GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV12389,10.2.1.175,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 4 core x 4 logical proc,16GB,C: 120GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV2850,10.2.1.176,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 8 core x 8 logical proc,8GB,C: 40 GB D: 50 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV15797,10.2.1.178,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV12719,10.2.1.180,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,8GB,C: 100 GB D: 100 GB E: 50 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SPSERVER183,10.2.1.183,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 4 socket x 4 core x 4 logical proc,8GB,C: 150GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV14242,10.2.1.188,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 80GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV14415,10.2.1.190,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 2 core x 2 logical proc,8GB,C: 120GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV14430,10.2.1.191,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 2 core x 2 logical proc,8GB,C: 150GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV14565,10.2.1.195,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 4 core x 4 logical proc,12GB,C: 75 GB D: 80 GB E: 51 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV15798,10.2.1.202,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV14617,10.2.1.205,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 2 core x 2 logical proc,8GB,C: 100GB,Microsoft Windows Server 2012 R2 Standard,BV
ADPROD206BV,10.2.1.206,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 4 core x 4 logical proc,4GB,C: 40GB,Microsoft Windows Server 2012 R2 Standard,BV
ADPROD208BV,10.2.1.208,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 60GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV15428,10.2.1.209,CPU :Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 60GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV15457,10.2.1.210,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SPSERVER16,10.2.1.216,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,4GB,C: 105GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
SRV15814,10.2.1.219,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 80GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV15815,10.2.1.220,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 80GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SPSERVER233,10.2.1.233,CPU :Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz - 1 socket x 4 core x 8 logical proc,4GB,C: 683 GB D: 3971 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SPSERVER250,10.2.1.250,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,2GB,C: 40GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
RJSRVDB251,10.2.17.68,CPU :Intel(R) Pentium(R) III processor - 4 socket x  core x  logical proc,4GB,C: 50 GB D: 230 GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
XACTPRODAPP71,10.2.17.71,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 4 core x 4 logical proc,4GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
RJSERVER83,10.2.17.83,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 4 socket x 4 core x 4 logical proc,4GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
RJSERVER89,10.2.17.89,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,2GB,C: 20GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
